epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.878,0.83811,2.08745,1.27922,0.86495,0.76478,0.88966,0.69749,0.73812,2.37009,0.95703,0.000407609,0.000407609,0.000407609
2,271.067,0.81346,1.38652,1.23633,0.84146,0.90299,0.93131,0.69029,0.84681,1.54741,1.07362,0.000742672,0.000742672,0.000742672
3,413.194,0.84255,1.22178,1.22487,0.82745,0.8947,0.92426,0.56037,1.15018,1.65339,1.38405,0.000995236,0.000995236,0.000995236
4,750.456,0.85342,1.11546,1.22999,0.92317,0.89677,0.95072,0.64179,0.96403,1.31404,1.20777,0.00087875,0.00087875,0.00087875
5,880.846,0.8103,0.95548,1.21597,0.94497,0.92537,0.95243,0.68882,0.94764,1.14941,1.1388,0.000755,0.000755,0.000755
6,1033.62,0.76636,0.86867,1.16214,0.98425,0.93251,0.98618,0.80411,0.72748,0.85289,0.94869,0.00063125,0.00063125,0.00063125
7,1175.39,0.73664,0.78594,1.15592,0.97754,0.97437,0.98957,0.81533,0.68419,0.77945,0.90462,0.0005075,0.0005075,0.0005075
8,1319.93,0.70669,0.71381,1.14667,0.98443,0.94395,0.97803,0.78807,0.71866,0.81145,0.94442,0.00038375,0.00038375,0.00038375
9,1457.14,0.64983,0.65637,1.11097,0.9924,0.97497,0.98947,0.83059,0.6442,0.61347,0.86909,0.00026,0.00026,0.00026
10,1595.85,0.60845,0.59006,1.07187,0.9914,0.9403,0.991,0.83744,0.61081,0.63052,0.85578,0.00013625,0.00013625,0.00013625
